GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
HIV_0000000006,2017,EMR,AFG,,,
HIV_0000000006,2017,WPR,AUS,,,
HIV_0000000006,2017,AMR,BLZ,,,3700
HIV_0000000006,2017,EUR,BGR,,,
HIV_0000000006,2017,AFR,TCD,3100,1800,4300
HIV_0000000006,2017,EUR,HRV,,,
HIV_0000000006,2017,AMR,DMA,,,
HIV_0000000006,2017,AFR,SWZ,3500,3000,4000
HIV_0000000006,2017,AFR,ETH,15000,9100,26000
HIV_0000000006,2017,AFR,GHA,16000,12000,19000
HIV_0000000006,2017,AMR,HND,1000,690,1400
HIV_0000000006,2017,EUR,ITA,560,,710
HIV_0000000006,2017,EUR,KGZ,,,
HIV_0000000006,2017,EUR,LUX,,,
HIV_0000000006,2017,AFR,MUS,,,
HIV_0000000006,2017,SEAR,MMR,6700,5100,9300
HIV_0000000006,2017,AFR,NGA,150000,86000,230000
HIV_0000000006,2017,AMR,PER,2100,1200,3600
HIV_0000000006,2017,EUR,RUS,,,
HIV_0000000006,2017,EMR,SAU,,,
HIV_0000000006,2017,EMR,SOM,820,670,960
HIV_0000000006,2017,EUR,CHE,,,
HIV_0000000006,2017,AMR,TTO,,,
HIV_0000000006,2017,EMR,TUN,,,
HIV_0000000006,2017,AFR,TZA,32000,26000,40000
HIV_0000000006,2017,AFR,ZMB,16000,12000,21000
HIV_0000000006,2017,GLOBAL,,940000,670000,1300000
HIV_0000000006,2017,AFR,AGO,13000,9500,17000
HIV_0000000006,2017,SEAR,BGD,1100,930,1200
HIV_0000000006,2017,EUR,BIH,,,
HIV_0000000006,2017,WPR,KHM,1300,1000,1900
HIV_0000000006,2017,AFR,COG,4900,3900,5800
HIV_0000000006,2017,SEAR,PRK,,,
HIV_0000000006,2017,AMR,SLV,610,510,720
HIV_0000000006,2017,AFR,GAB,1300,960,1700
HIV_0000000006,2017,AFR,GIN,5100,3900,6300
HIV_0000000006,2017,SEAR,IDN,39000,33000,45000
HIV_0000000006,2017,EUR,KAZ,670,,740
HIV_0000000006,2017,AFR,LSO,4900,4100,5900
HIV_0000000006,2017,SEAR,MDV,,,
HIV_0000000006,2017,WPR,MNG,,,
HIV_0000000006,2017,EUR,NLD,,,
HIV_0000000006,2017,WPR,PLW,,,
HIV_0000000006,2017,EMR,QAT,,,
HIV_0000000006,2017,AMR,VCT,,,
HIV_0000000006,2017,WPR,SGP,,,
HIV_0000000006,2017,SEAR,LKA,,,
HIV_0000000006,2017,EUR,MKD,,,
HIV_0000000006,2017,AFR,UGA,26000,20000,34000
HIV_0000000006,2017,WPR,VUT,,,
HIV_0000000006,2017,WPR,,33000,18000,62000
HIV_0000000006,2017,AMR,,56000,39000,80000
HIV_0000000006,2017,EUR,ARM,,,
HIV_0000000006,2017,EUR,BEL,,,
HIV_0000000006,2017,WPR,BRN,,,
HIV_0000000006,2017,AFR,CAF,5200,4200,6600
HIV_0000000006,2017,AFR,CIV,24000,15000,37000
HIV_0000000006,2017,EMR,DJI,560,,810
HIV_0000000006,2017,EUR,EST,,,
HIV_0000000006,2017,EUR,DEU,,,740
HIV_0000000006,2017,AMR,HTI,4700,3600,6900
HIV_0000000006,2017,EUR,ISR,,,
HIV_0000000006,2017,EMR,KWT,,,
HIV_0000000006,2017,EUR,LTU,,,
HIV_0000000006,2017,AFR,MRT,700,,980
HIV_0000000006,2017,AFR,MOZ,70000,55000,91000
HIV_0000000006,2017,AFR,NER,1800,1400,2300
HIV_0000000006,2017,AMR,PRY,,,
HIV_0000000006,2017,EUR,ROU,,,
HIV_0000000006,2017,AFR,STP,,,
HIV_0000000006,2017,WPR,SLB,,,
HIV_0000000006,2017,EUR,SWE,,,
HIV_0000000006,2017,WPR,TON,,,
HIV_0000000006,2017,EMR,YEM,,,
