GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
MENING_2,2014,AFR,BFA,3476,,
MENING_2,2014,AFR,CIV,196,,
MENING_2,2014,AFR,TGO,351,,
MENING_2,2014,AFR,GIN,582,,
MENING_2,2014,AFR,GMB,214,,
MENING_2,2014,AFR,NER,327,,
MENING_2,2014,AFR,CMR,1156,,
MENING_2,2014,AFR,ETH,1744,,
MENING_2,2014,AFR,NGA,1175,,
MENING_2,2014,AFR,SEN,102,,
MENING_2,2014,AFR,MLI,327,,
MENING_2,2014,AFR,MRT,1,,
MENING_2,2014,AFR,COD,10109,,
MENING_2,2014,AFR,SSD,111,,
MENING_2,2014,AFR,GHA,448,,
MENING_2,2014,EMR,SDN,207,,
MENING_2,2014,AFR,BEN,711,,
MENING_2,2014,AFR,CAF,169,,
MENING_2,2014,AFR,TCD,235,,
