GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
TB_e_mort_exc_tbhiv_num,2016,AFR,GIN,3300,1900,4900
TB_e_mort_exc_tbhiv_num,2016,AFR,NER,4000,2400,6100
TB_e_mort_exc_tbhiv_num,2016,AFR,ZMB,4800,2800,7300
TB_e_mort_exc_tbhiv_num,2016,SEAR,THA,8600,7200,10000
TB_e_mort_exc_tbhiv_num,2016,AFR,GHA,10000,4600,18000
TB_e_mort_exc_tbhiv_num,2016,WPR,PHL,22000,22000,22000
TB_e_mort_exc_tbhiv_num,2016,AFR,,417000,351000,488000
TB_e_mort_exc_tbhiv_num,2016,SEAR,,652000,542000,772000
TB_e_mort_exc_tbhiv_num,2016,AFR,SYC,0,0,0
TB_e_mort_exc_tbhiv_num,2016,EUR,MLT,1,1,1
TB_e_mort_exc_tbhiv_num,2016,WPR,PLW,2,1,3
TB_e_mort_exc_tbhiv_num,2016,EMR,QAT,7,6,9
TB_e_mort_exc_tbhiv_num,2016,EMR,BHR,8,7,9
TB_e_mort_exc_tbhiv_num,2016,AMR,SUR,11,11,12
TB_e_mort_exc_tbhiv_num,2016,AMR,TTO,23,23,23
TB_e_mort_exc_tbhiv_num,2016,EUR,LVA,39,38,39
TB_e_mort_exc_tbhiv_num,2016,EUR,GRC,55,53,57
TB_e_mort_exc_tbhiv_num,2016,AFR,GNQ,190,130,260
TB_e_mort_exc_tbhiv_num,2016,EUR,BLR,230,200,260
TB_e_mort_exc_tbhiv_num,2016,EUR,DEU,320,320,330
TB_e_mort_exc_tbhiv_num,2016,EUR,ITA,330,330,340
TB_e_mort_exc_tbhiv_num,2016,AMR,CHL,350,340,350
TB_e_mort_exc_tbhiv_num,2016,EUR,TKM,430,380,480
TB_e_mort_exc_tbhiv_num,2016,EUR,AZE,620,610,630
TB_e_mort_exc_tbhiv_num,2016,AMR,COL,980,970,990
TB_e_mort_exc_tbhiv_num,2016,AFR,ZWE,1200,710,1700
TB_e_mort_exc_tbhiv_num,2016,AFR,DZA,3100,2000,4500
TB_e_mort_exc_tbhiv_num,2016,AFR,SEN,3800,2400,5700
TB_e_mort_exc_tbhiv_num,2016,AFR,CIV,5500,3300,8400
TB_e_mort_exc_tbhiv_num,2016,AFR,MDG,13000,7900,20000
TB_e_mort_exc_tbhiv_num,2016,SEAR,MMR,25000,16000,35000
TB_e_mort_exc_tbhiv_num,2016,AFR,ETH,26000,16000,37000
TB_e_mort_exc_tbhiv_num,2016,AFR,COD,53000,31000,80000
TB_e_mort_exc_tbhiv_num,2016,EUR,SMR,0,0,0
TB_e_mort_exc_tbhiv_num,2016,AMR,GRD,2,2,2
TB_e_mort_exc_tbhiv_num,2016,WPR,TUV,2,1,3
TB_e_mort_exc_tbhiv_num,2016,EUR,DNK,13,13,14
TB_e_mort_exc_tbhiv_num,2016,SEAR,MDV,17,13,21
TB_e_mort_exc_tbhiv_num,2016,EUR,MKD,20,20,21
TB_e_mort_exc_tbhiv_num,2016,EUR,IRL,23,23,23
TB_e_mort_exc_tbhiv_num,2016,EUR,HUN,72,71,73
TB_e_mort_exc_tbhiv_num,2016,EUR,BIH,140,120,150
TB_e_mort_exc_tbhiv_num,2016,AMR,GUY,140,120,170
TB_e_mort_exc_tbhiv_num,2016,EUR,PRT,210,210,220
