GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
CHOLERA_0000000001,2016,EUR,DEU,1,,
CHOLERA_0000000001,2016,EUR,DNK,1,,
CHOLERA_0000000001,2016,SEAR,NPL,169,,
CHOLERA_0000000001,2016,WPR,PHL,124,,
CHOLERA_0000000001,2016,AMR,DOM,1159,,
CHOLERA_0000000001,2016,EUR,GBR,19,,
CHOLERA_0000000001,2016,AFR,NGA,768,,
CHOLERA_0000000001,2016,EUR,NLD,1,,
CHOLERA_0000000001,2016,AFR,RWA,355,,
CHOLERA_0000000001,2016,AFR,AGO,78,,
CHOLERA_0000000001,2016,AFR,BDI,434,,
CHOLERA_0000000001,2016,WPR,JPN,10,,
CHOLERA_0000000001,2016,AMR,USA,14,,
CHOLERA_0000000001,2016,AFR,ZWE,10,,
CHOLERA_0000000001,2016,WPR,KOR,4,,
CHOLERA_0000000001,2016,AMR,CAN,1,,
CHOLERA_0000000001,2016,AFR,COD,28093,,
CHOLERA_0000000001,2016,AMR,HTI,41421,,
CHOLERA_0000000001,2016,EMR,IRQ,3,,
CHOLERA_0000000001,2016,SEAR,MMR,782,,
CHOLERA_0000000001,2016,AFR,MWI,1792,,
CHOLERA_0000000001,2016,EMR,SOM,15619,,
CHOLERA_0000000001,2016,SEAR,THA,52,,
CHOLERA_0000000001,2016,AFR,BEN,761,,
CHOLERA_0000000001,2016,AFR,COG,15,,
CHOLERA_0000000001,2016,SEAR,IND,841,,
CHOLERA_0000000001,2016,AFR,MOZ,883,,
CHOLERA_0000000001,2016,AFR,TZA,11360,,
CHOLERA_0000000001,2016,AFR,GHA,175,,
CHOLERA_0000000001,2016,AFR,NER,38,,
CHOLERA_0000000001,2016,AFR,SSD,4295,,
CHOLERA_0000000001,2016,EMR,AFG,677,,
CHOLERA_0000000001,2016,WPR,AUS,1,,
CHOLERA_0000000001,2016,EMR,IRQ,5,,
CHOLERA_0000000001,2016,AFR,KEN,5866,,
CHOLERA_0000000001,2016,AFR,UGA,516,,
CHOLERA_0000000001,2016,EMR,YEM,15751,,
CHOLERA_0000000001,2016,WPR,CHN,27,,
