GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
TB_e_prev_num,2014,EUR,DNK,500,210,910
TB_e_prev_num,2014,EMR,EGY,23000,12000,37000
TB_e_prev_num,2014,AFR,ETH,190000,160000,240000
TB_e_prev_num,2014,WPR,FSM,260,110,480
TB_e_prev_num,2014,AFR,GHA,75000,30000,140000
TB_e_prev_num,2014,EMR,SOM,52000,27000,85000
TB_e_prev_num,2014,AMR,SUR,240,130,380
TB_e_prev_num,2014,AFR,SWZ,7700,4300,12000
TB_e_prev_num,2014,AFR,TGO,5800,3100,9300
TB_e_prev_num,2014,WPR,VNM,180000,76000,330000
TB_e_prev_num,2014,AFR,ZAF,380000,210000,590000
TB_e_prev_num,2014,AFR,,3200000,2800000,3600000
TB_e_prev_num,2014,AMR,ATG,6.9,3.3,12
TB_e_prev_num,2014,EUR,AUT,830,350,1500
TB_e_prev_num,2014,AFR,BDI,21000,11000,34000
TB_e_prev_num,2014,AFR,BEN,9500,5000,15000
TB_e_prev_num,2014,SEAR,BGD,640000,340000,1000000
TB_e_prev_num,2014,EMR,BHR,240,100,440
TB_e_prev_num,2014,EUR,BIH,2400,1200,4100
TB_e_prev_num,2014,AMR,BLZ,160,84,270
TB_e_prev_num,2014,AMR,BRA,110000,51000,180000
TB_e_prev_num,2014,WPR,BRN,330,140,600
TB_e_prev_num,2014,AFR,BWA,7900,4400,12000
TB_e_prev_num,2014,AMR,CAN,2300,990,4200
TB_e_prev_num,2014,AMR,CHL,3500,1500,6300
TB_e_prev_num,2014,AFR,CIV,48000,26000,76000
TB_e_prev_num,2014,AFR,COD,400000,210000,640000
TB_e_prev_num,2014,WPR,COK,3.8,1.9,6.4
TB_e_prev_num,2014,AFR,COM,460,240,760
TB_e_prev_num,2014,AMR,CRI,650,290,1100
TB_e_prev_num,2014,EUR,CYP,78,33,140
TB_e_prev_num,2014,EUR,DEU,6300,2600,11000
TB_e_prev_num,2014,AMR,DMA,0.72,0.35,1.2
TB_e_prev_num,2014,AMR,DOM,7600,4000,12000
TB_e_prev_num,2014,AMR,ECU,12000,6400,20000
TB_e_prev_num,2014,AFR,ERI,6300,3200,10000
TB_e_prev_num,2014,EUR,EST,320,140,580
TB_e_prev_num,2014,EUR,FIN,390,170,710
TB_e_prev_num,2014,EUR,FRA,7400,3500,13000
TB_e_prev_num,2014,AFR,GAB,10000,5200,17000
TB_e_prev_num,2014,EUR,GEO,5900,2800,10000
TB_e_prev_num,2014,AFR,GIN,31000,17000,50000
TB_e_prev_num,2014,AFR,GNB,8300,4000,14000
TB_e_prev_num,2014,AMR,VEN,8800,3800,16000
TB_e_prev_num,2014,WPR,VUT,230,110,400
TB_e_prev_num,2014,EMR,YEM,16000,7200,29000
TB_e_prev_num,2014,AFR,ZMB,69000,38000,110000
TB_e_prev_num,2014,,,2100000,1700000,2400000
TB_e_prev_num,2014,AFR,GNQ,1100,560,1900
TB_e_prev_num,2014,EUR,GRC,670,280,1200
TB_e_prev_num,2014,AMR,GRD,3.1,1.3,5.6
TB_e_prev_num,2014,AMR,GTM,17000,8600,28000
TB_e_prev_num,2014,AMR,GUY,940,470,1600
TB_e_prev_num,2014,AMR,HND,3900,1500,7400
TB_e_prev_num,2014,EUR,HRV,670,280,1200
TB_e_prev_num,2014,AMR,HTI,26000,14000,42000
TB_e_prev_num,2014,EUR,HUN,1500,640,2800
TB_e_prev_num,2014,SEAR,IDN,1600000,1300000,2000000
TB_e_prev_num,2014,SEAR,IND,2500000,1700000,3500000
TB_e_prev_num,2014,EUR,IRL,430,180,790
TB_e_prev_num,2014,EMR,IRN,26000,13000,43000
TB_e_prev_num,2014,EMR,IRQ,24000,12000,39000
TB_e_prev_num,2014,EUR,ISL,14,5.8,26
TB_e_prev_num,2014,EUR,ISR,560,240,1000
TB_e_prev_num,2014,EUR,ITA,4400,1900,7900
TB_e_prev_num,2014,AMR,JAM,170,87,270
TB_e_prev_num,2014,EMR,JOR,540,240,970
TB_e_prev_num,2014,WPR,JPN,30000,12000,54000
TB_e_prev_num,2014,EUR,KAZ,22000,6500,47000
TB_e_prev_num,2014,AFR,KEN,120000,64000,190000
TB_e_prev_num,2014,EUR,KGZ,11000,5400,20000
TB_e_prev_num,2014,WPR,KHM,100000,87000,120000
TB_e_prev_num,2014,WPR,KIR,830,410,1400
TB_e_prev_num,2014,AMR,KNA,5.1,2.1,9.3
TB_e_prev_num,2014,WPR,KOR,50000,18000,100000
TB_e_prev_num,2014,EMR,KWT,1000,430,1900
TB_e_prev_num,2014,WPR,LAO,31000,20000,44000
TB_e_prev_num,2014,EMR,LBN,1200,560,2000
TB_e_prev_num,2014,AFR,LBR,22000,12000,37000
TB_e_prev_num,2014,EMR,LBY,4500,2300,7500
TB_e_prev_num,2014,AMR,LCA,19,8.6,34
TB_e_prev_num,2014,SEAR,LKA,20000,10000,34000
TB_e_prev_num,2014,AFR,LSO,14000,7800,22000
TB_e_prev_num,2014,EUR,LTU,2400,1100,4200
TB_e_prev_num,2014,EUR,LUX,45,19,81
TB_e_prev_num,2014,EUR,LVA,1100,550,1900
TB_e_prev_num,2014,EMR,MAR,46000,20000,83000
TB_e_prev_num,2014,EUR,MCO,1.1,0.44,1.9
TB_e_prev_num,2014,EUR,MDA,9300,4900,15000
TB_e_prev_num,2014,AFR,MDG,96000,50000,160000
TB_e_prev_num,2014,SEAR,MDV,200,91,350
TB_e_prev_num,2014,AMR,MEX,33000,15000,58000
TB_e_prev_num,2014,WPR,MHL,250,120,430
TB_e_prev_num,2014,EUR,MKD,420,180,750
TB_e_prev_num,2014,AFR,MLI,16000,8300,25000
TB_e_prev_num,2014,EUR,MLT,64,27,120
TB_e_prev_num,2014,SEAR,MMR,240000,190000,310000
